,ntips,tc,height,uRF-mean,uRF-std,block-size,tg,block-mean,block-std,Ne,lRF-5K-mean,lRF-5K-std,lRF-10K-mean,lRF-10K-std
0,10,0.2,100000,0.4046207318429542,0.05142319902528234,0,10000,1706.4846416382252,1661.3757250434705,25000,0.19016666666666665,0.1157379836708655,0.2536111111111111,0.10490699878969816
1,10,0.2,1000000,0.4046677788900012,0.05137806372949305,0,100000,174.33751743375174,175.26593795982166,250000,0.3980000000000001,0.0561387170814898,0.4024444444444445,0.05283517346953216
2,10,0.2,10000000,0.4046909131353575,0.051335818734628565,0,1000000,18.30630102881412,18.29712309165899,2500000,0.4004444444444445,0.05411282224079795,0.4031111111111112,0.05147407354109037
3,10,1.0,100000,0.21583372261150036,0.0878652379359464,0,10000,4761.9047619047615,4251.733746055324,5000,0.05483333333333334,0.07024716065612127,0.08083333333333334,0.07617343352710734
4,10,1.0,1000000,0.21604337671004342,0.08782857083398612,0,100000,525.2100840336135,514.828841133479,50000,0.15433333333333332,0.09126538429421295,0.1798888888888889,0.08811041053385488
5,10,1.0,10000000,0.21526170615059498,0.08799675854295859,0,1000000,56.00672080649678,56.30903941135917,500000,0.20188888888888892,0.08656767851203452,0.2101666666666667,0.08620802789806802
6,10,2.0,100000,0.07957123790457125,0.06386246561559755,0,10000,8849.557522123894,9087.023837926072,2500,0.009166666666666667,0.022482846685011403,0.014,0.026439775498197062
7,10,2.0,1000000,0.07946991435880324,0.06403016180645295,0,100000,906.6183136899365,947.0020469193222,25000,0.051,0.051975659070400144,0.060833333333333336,0.053632695712435674
8,10,2.0,10000000,0.07928361695028363,0.06365460585855033,0,1000000,93.03190994511117,93.28343189078508,250000,0.07894444444444446,0.06328845876102276,0.08,0.06301087501670144
9,50,0.2,100000,0.4666018263161121,0.017513771336589535,0,2000,1485.8841010401188,1458.3592026412405,5000,0.13195918367346937,0.07593192768953581,0.18661224489795916,0.08004648795066621
10,50,0.2,1000000,0.4666156156156155,0.01752394885260924,0,20000,149.97000599880025,146.59715639761492,50000,0.38644897959183677,0.04208192957000499,0.4252959183673469,0.0338153458284013
11,50,0.2,10000000,0.46687603930461075,0.017472849718529943,0,200000,15.008705048928379,14.526796819066433,500000,0.4665000000000001,0.017397618046808127,0.4673775510204082,0.017123990468424177
12,50,1.0,100000,0.23967373495944921,0.03933809497653792,0,2000,4830.917874396136,4603.760211550516,1000,0.011908163265306122,0.015679497007419094,0.01939795918367347,0.019863127545824893
13,50,1.0,1000000,0.23989979775694065,0.03946478721364079,0,20000,509.4243504839531,511.6432529661994,10000,0.09235714285714286,0.0360110107993676,0.1255204081632653,0.039919221590542515
14,50,1.0,10000000,0.2395504484075912,0.03941409109005743,0,200000,51.666236114699046,50.97392986164584,100000,0.2220714285714286,0.03997191720359781,0.22958163265306122,0.04135612319170802
15,50,2.0,100000,0.08684331270045557,0.0267787295785102,0,2000,9900.990099009901,11336.994102931385,500,0.0019285714285714284,0.004800030803038745,0.0025102040816326527,0.0056398578588520275
16,50,2.0,1000000,0.08702849788564072,0.02675515012842417,0,20000,866.5511265164645,868.1719584402467,5000,0.017571428571428575,0.013322936040516438,0.02696938775510204,0.01577364550586747
17,50,2.0,10000000,0.0869084390512962,0.026623385145577824,0,200000,87.15356458079135,86.86796507134102,50000,0.07539795918367347,0.025813864123914367,0.08203061224489795,0.026537438289840426
18,100,0.2,100000,0.4736155448377671,0.012013230446281815,0,1000,1345.8950201884254,1374.8183059623298,2500,0.07804040404040404,0.044365085255359704,0.12056060606060606,0.04805426411636464
19,100,0.2,1000000,0.4735758890203334,0.012009074941863814,0,10000,138.48497438027974,137.71887621890204,25000,0.34179797979797977,0.03912594154920785,0.39565151515151514,0.030809769369191938
20,100,0.2,10000000,0.47357073234851016,0.012010577752946271,0,100000,14.574285131314308,14.141539357244717,250000,0.4671565656565657,0.01337000523926409,0.4713333333333334,0.012741918781536873
21,100,1.0,100000,0.24109900809900806,0.027801959021508223,0,1000,5405.405405405405,5311.017490635875,500,0.005641414141414142,0.00828238327210559,0.009964646464646466,0.010216849658140579
22,100,1.0,1000000,0.24095169917392134,0.027826629307005944,0,10000,474.3833017077799,477.6224280874585,5000,0.051111111111111114,0.020803912498061936,0.07657575757575757,0.02431793584737725
23,100,1.0,10000000,0.24057585868696976,0.027695939414476404,0,100000,51.78663904712584,50.95044093428954,50000,0.19264141414141414,0.02890749162648839,0.21617676767676766,0.026506343414357963
24,100,2.0,100000,0.08842816553927663,0.019024846099348524,0,1000,7299.270072992701,7708.487460836735,250,0.0017575757575757575,0.004030594151658808,0.0031262626262626267,0.005628173242495842
25,100,2.0,1000000,0.08841738708405376,0.018971773361236965,0,10000,877.1929824561404,875.5945254996968,2500,0.010641414141414143,0.008083255626813706,0.016267676767676768,0.009481183605810246
26,100,2.0,10000000,0.08830843975288419,0.0188916266347398,0,100000,85.03401360544218,84.66066008371205,25000,0.059101010101010105,0.016627744573546398,0.07219696969696969,0.017229533535011866
